"player_name","player_id","year","xwoba","xba","xslg","xiso","xobp","brl","brl_percent","exit_velocity","max_ev","hard_hit_percent","k_percent","bb_percent","whiff_percent","chase_percent","arm_strength","xera","fb_velocity","fb_spin","curve_spin"
"Tyler Holton","663947","2024",76,68,68,65,79,62,72,84,57,90,40,90,35,99,,75,14,46,
"Yennier Cano","666974","2024",49,37,51,59,38,75,80,18,31,26,36,30,78,98,,47,72,12,
"Ben Brown","676962","2024",17,20,20,19,29,16,9,1,12,1,74,41,85,58,,17,89,41,18
"Michael Grove","675627","2024",80,88,91,88,68,50,42,78,2,79,89,61,89,94,,89,77,61,
"Carlos Carrasco","471911","2024",18,21,19,16,24,21,59,16,8,38,19,39,29,31,,18,10,26,78
"Michael Lorenzen","547179","2024",31,47,45,47,24,34,67,81,4,40,34,14,30,49,,31,50,66,
"MacKenzie Gore","669022","2024",55,44,66,77,45,21,44,86,29,69,77,53,69,45,,53,90,63,29
"Tanner Houck","656557","2024",72,44,72,82,70,34,88,16,20,21,63,87,37,68,,72,37,36,
"T.J. McFarland","519008","2024",98,73,97,100,90,98,98,98,6,92,7,93,10,61,,98,1,3,
"Brad Keller","641745","2024",16,31,4,3,52,29,2,23,13,61,18,54,38,59,,16,28,33,
"Yusei Kikuchi","579328","2024",90,72,84,88,86,12,53,33,1,33,71,81,46,33,,88,77,55,38
"Nick Pivetta","601713","2024",65,79,16,3,97,25,4,67,77,77,87,98,70,68,,66,58,80,
"Patrick Sandoval","663776","2024",62,42,69,81,50,34,82,79,21,69,58,41,66,53,,61,42,5,79
"Raisel Iglesias","628452","2024",78,60,82,90,70,94,96,64,91,65,12,72,44,51,,78,63,58,
"Framber Valdez","664285","2024",49,26,54,73,42,50,86,5,49,4,35,66,54,40,,48,46,26,92
"Slade Cecconi","677944","2024",67,82,49,23,82,29,42,64,54,63,16,77,13,6,,66,52,71,
"John Schreiber","670167","2024",55,27,65,85,50,75,83,75,19,75,18,79,5,37,,53,25,19,
"Victor Vodnik","680767","2024",67,49,79,89,54,75,89,56,81,21,30,35,15,24,,66,94,59,
"Mike Baumann","657508","2024",71,80,82,81,57,86,90,20,70,45,33,21,52,19,,71,85,62,23
"Kyle Hendricks","543294","2024",4,2,3,11,11,25,44,87,12,81,15,61,6,71,,4,1,7,
"Brayan Bello","678394","2024",36,29,21,19,59,25,39,56,38,34,40,78,50,64,,35,74,6,
"Adrian Houser","605288","2024",10,14,21,34,5,21,49,18,45,44,2,11,6,4,,9,23,13,
"Graham Ashcraft","668933","2024",32,30,31,40,40,16,56,10,12,13,27,48,28,32,,32,65,74,
"Jesse Chavez","445926","2024",51,51,48,46,50,62,59,64,51,81,16,27,8,29,,53,7,8,
"Trent Thornton","663423","2024",87,76,87,89,81,75,75,75,76,90,56,76,40,83,,94,65,92,
"Hunter Strickland","519326","2024",95,76,90,93,94,86,92,62,30,81,47,93,47,40,,93,42,61,
"Chase Anderson","502624","2024",34,31,33,41,36,41,39,93,20,93,2,43,33,8,,34,37,39,
"Clay Holmes","605280","2024",81,78,85,85,76,75,76,75,50,73,72,68,73,36,,81,86,34,
"Chris Paddack","663978","2024",39,25,21,20,67,1,15,30,5,34,42,88,49,78,,40,41,42,9
"Ty Blach","621389","2024",12,1,14,50,17,41,42,27,10,39,1,88,1,55,,14,3,7,
"Justin Steele","657006","2024",55,44,32,30,73,62,60,15,10,11,49,76,11,84,,53,23,87,
"Justin Lawrence","664875","2024",25,17,60,88,6,86,90,8,45,30,51,9,57,24,,30,77,86,
"Thyago Vieira","600986","2024",9,21,11,7,10,34,13,62,3,21,58,15,63,37,,10,93,41,
"Josh Winckowski","670174","2024",12,11,17,23,10,41,53,42,34,10,16,34,26,49,,14,70,7,
"Carlos Rodón","607074","2024",20,32,15,8,40,1,12,6,32,12,56,68,57,53,,21,72,85,
"Jordan Montgomery","656756","2024",23,9,26,56,24,50,83,50,64,69,8,56,23,57,,24,15,34,21
"Jon Gray","592351","2024",46,24,43,58,50,12,53,13,20,23,59,63,67,78,,55,58,10,
"Ryan Feltner","663372","2024",55,41,46,53,65,16,59,81,35,55,32,73,40,36,,53,63,71,
"Kutter Crawford","676710","2024",74,74,71,63,76,21,68,79,38,87,60,59,55,86,,74,29,93,
"Merrill Kelly","518876","2024",74,84,50,21,89,41,27,82,61,97,52,73,52,85,,74,26,76,
"Corbin Burnes","669203","2024",86,78,77,70,86,12,51,60,7,63,70,75,80,88,,85,,,89
"Joe Ryan","657746","2024",87,79,66,54,94,4,28,56,2,58,76,93,53,76,,86,44,50,
"Aaron Civale","650644","2024",42,27,37,48,52,12,46,30,22,34,54,65,31,63,,43,21,71,96
"Kyle Freeland","607536","2024",2,1,7,37,2,50,56,20,3,65,1,38,3,26,,2,17,64,29
"Brandon Pfaadt","694297","2024",80,60,69,72,82,29,82,48,8,56,56,88,36,66,,78,31,93,
"James Paxton","572020","2024",11,19,26,42,9,12,32,40,11,32,5,12,9,27,,11,41,20,2
